2026-03-23 17:01:25.185 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:01:25.188 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:01:25.189 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:01:42.156 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:01:42.161 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:01:42.162 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:01:54.555 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:01:54.557 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:01:54.558 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:02:05.124 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:02:12.369 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:02:12.370 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:02:12.370 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:02:16.930 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:02:19.098 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:02:19.099 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:02:19.100 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:02:23.631 | WARNING  | src.crawler.crawler_manager:cancel_crawler:156 | 爬虫 日本煤炉 不在运行中
2026-03-23 17:02:27.981 | WARNING  | src.crawler.crawler_manager:cancel_crawler:156 | 爬虫 日本煤炉 不在运行中
2026-03-23 17:03:20.124 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:03:20.128 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:03:20.129 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:03:20.849 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:03:20.850 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:03:20.851 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:03:39.628 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:03:39.634 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:03:39.635 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:03:40.963 | INFO     | __main__:handle_connect:48 | Client connected
